  2.061153622439000E-007  7.170595299554751E-027  8.308260120774995E-027
  2.081868560730650E-007  7.388972437571966E-027  8.561284310717779E-027
  2.102791687613270E-007  7.614000149553596E-027  8.822014234444240E-027
  2.123925095416982E-007  7.845880975630253E-027  9.090684566485525E-027
  2.145270897500181E-007  8.084823624197831E-027  9.367537128276265E-027
  2.166831228460860E-007  8.331043159769154E-027  9.652821105810177E-027
  2.188608244350085E-007  8.584761196546552E-027  9.946793273924287E-027
  2.210604122887591E-007  8.846206097889605E-027  1.024971822741362E-026
  2.232821063679562E-007  9.115613181857586E-027  1.056186861918436E-026
  2.255261288438591E-007  9.393224933011586E-027  1.088352540565989E-026
  2.277927041205855E-007  9.679291220667003E-027  1.121497809966051E-026
  2.300820588575518E-007  9.974069523792777E-027  1.155652503098456E-026
  2.323944219921395E-007  1.027782516275985E-026  1.190847361492533E-026
  2.347300247625892E-007  1.059083153814743E-026  1.227114062896563E-026
  2.370891007311241E-007  1.091337037682191E-026  1.264485249789883E-026
  2.394718858073070E-007  1.124573198551012E-026  1.302994558763329E-026
  2.418786182716312E-007  1.158821551209498E-026  1.342676650794434E-026
  2.443095387993488E-007  1.194112921486874E-026  1.383567242444646E-026
  2.467648904845383E-007  1.230479073998628E-026  1.425703138006649E-026
  2.492449188644143E-007  1.267952740736810E-026  1.469122262630706E-026
  2.517498719438816E-007  1.306567650531033E-026  1.513863696459859E-026
  2.542800002203354E-007  1.346358559406696E-026  1.559967709804691E-026
  2.568355567087120E-007  1.387361281867754E-026  1.607475799389325E-026
  2.594167969667899E-007  1.429612723132188E-026  1.656430725701282E-026
  2.620239791207458E-007  1.473150912349195E-026  1.706876551478798E-026
  2.646573638909678E-007  1.518015036827987E-026  1.758858681370270E-026
  2.673172146181275E-007  1.564245477309013E-026  1.812423902801497E-026
  2.700037972895140E-007  1.611883844309353E-026  1.867620428087529E-026
  2.727173805656335E-007  1.660973015574996E-026  1.924497937827000E-026
  2.754582358070747E-007  1.711557174673699E-026  1.983107625618024E-026
  2.782266371016460E-007  1.763681850763183E-026  2.043502244135884E-026
  2.810228612917836E-007  1.817393959570450E-026  2.105736152614005E-026
  2.838471880022370E-007  1.872741845619103E-026  2.169865365770934E-026
  2.866998996680307E-007  1.929775325742679E-026  2.235947604227363E-026
  2.895812815627086E-007  1.988545733923167E-026  2.304042346458586E-026
  2.924916218268613E-007  2.049105967495048E-026  2.374210882329147E-026
  2.954312114969406E-007  2.111510534756478E-026  2.446516368257848E-026
  2.984003445343630E-007  2.175815604030425E-026  2.521023884062786E-026
  3.013993178549066E-007  2.242079054219959E-026  2.597800491537600E-026
  3.044284313584026E-007  2.310360526903166E-026  2.676915294811591E-026
  3.074879879587257E-007  2.380721480014602E-026  2.758439502548117E-026
  3.105782936140856E-007  2.453225243161571E-026  2.842446492037187E-026
  3.136996573576229E-007  2.527937074625057E-026  2.929011875239984E-026
  3.168523913283132E-007  2.604924220096576E-026  3.018213566844730E-026
  3.200368108021809E-007  2.684255973203842E-026  3.110131854395163E-026
  3.232532342238271E-007  2.766003737879706E-026  3.204849470554750E-026
  3.265019832382742E-007  2.850241092630514E-026  3.302451667571667E-026
  3.297833827231311E-007  2.937043856761735E-026  3.403026294011571E-026
  3.330977608210807E-007  3.026490158620449E-026  3.506663873827252E-026
  3.364454489726948E-007  3.118660505916137E-026  3.613457687836291E-026
  3.398267819495783E-007  3.213637858183048E-026  3.723503857680093E-026
  3.432420978878466E-007  3.311507701449386E-026  3.836901432339857E-026
  3.466917383219398E-007  3.412358125180504E-026  3.953752477287342E-026
  3.501760482187759E-007  3.516279901565369E-026  4.074162166350685E-026
  3.536953760122483E-007  3.623366567217656E-026  4.198238876377939E-026
  3.572500736380690E-007  3.733714507365019E-026  4.326094284783559E-026
  3.608404965689629E-007  3.847423042602300E-026  4.457843470065607E-026
  3.644670038502152E-007  3.964594518286769E-026  4.593605015384178E-026
  3.681299581355759E-007  4.085334396655854E-026  4.733501115294231E-026
  3.718297257235262E-007  4.209751351750274E-026  4.877657685728962E-026
  3.755666765939080E-007  4.337957367228008E-026  5.026204477332619E-026
  3.793411844449224E-007  4.470067837157157E-026  5.179275192244855E-026
  3.831536267305001E-007  4.606201669878375E-026  5.337007604441673E-026
  3.870043846980465E-007  4.746481395030424E-026  5.499543683741310E-026
  3.908938434265675E-007  4.891033273835106E-026  5.667029723586648E-026
  3.948223918651771E-007  5.039987412740889E-026  5.839616472719194E-026
  3.987904228719929E-007  5.193477880527495E-026  6.017459270863125E-026
  4.027983332534224E-007  5.351642828976848E-026  6.200718188541520E-026
  4.068465238038437E-007  5.514624617219010E-026  6.389558171150634E-026
  4.109353993456852E-007  5.682569939864995E-026  6.584149187421898E-026
  4.150653687699086E-007  5.855629959041838E-026  6.784666382405244E-026
  4.192368450768980E-007  6.033960440448697E-026  6.991290235111476E-026
  4.234502454177603E-007  6.217721893556507E-026  7.204206720955555E-026
  4.277059911360407E-007  6.407079716077339E-026  7.423607479147035E-026
  4.320045078098576E-007  6.602204342833490E-026  7.649689985178281E-026
  4.363462252944604E-007  6.803271399160358E-026  7.882657728565755E-026
  4.407315777652157E-007  7.010461858981061E-026  8.122720396004293E-026
  4.451610037610251E-007  7.223962207695221E-026  8.370094060099313E-026
  4.496349462281793E-007  7.443964610028381E-026  8.625001373846715E-026
  4.541538525646534E-007  7.670667082993253E-026  8.887671771035640E-026
  4.587181746648468E-007  7.904273674118380E-026  9.158341672754337E-026
  4.633283689647730E-007  8.144994645104691E-026  9.437254700185120E-026
