  2.061153622439000E-007  4.769042223438068E-003 -4.785795840697498E-003
  2.081868560730650E-007  4.816971894615069E-003 -4.833893888527223E-003
  2.102791687613270E-007  4.865383266995685E-003 -4.882475329774054E-003
  2.123925095416982E-007  4.914281181757508E-003 -4.931545022622611E-003
  2.145270897500181E-007  4.963670528732754E-003 -4.981107874083068E-003
  2.166831228460860E-007  5.013556246897272E-003 -5.031168840481862E-003
  2.188608244350085E-007  5.063943324864463E-003 -5.081732927957362E-003
  2.210604122887591E-007  5.114836801384111E-003 -5.132805192960452E-003
  2.232821063679562E-007  5.166241765846267E-003 -5.184390742760187E-003
  2.255261288438591E-007  5.218163358790226E-003 -5.236494735954535E-003
  2.277927041205855E-007  5.270606772418557E-003 -5.289122382986251E-003
  2.300820588575518E-007  5.323577251116299E-003 -5.342278946663866E-003
  2.323944219921395E-007  5.377080091975491E-003 -5.395969742688068E-003
  2.347300247625892E-007  5.431120645324795E-003 -5.450200140183195E-003
  2.370891007311241E-007  5.485704315264581E-003 -5.504975562234192E-003
  2.394718858073070E-007  5.540836560207334E-003 -5.560301486428908E-003
  2.418786182716312E-007  5.596522893423477E-003 -5.616183445405860E-003
  2.443095387993488E-007  5.652768883592754E-003 -5.672627027407522E-003
  2.467648904845383E-007  5.709580155361044E-003 -5.729637876839134E-003
  2.492449188644143E-007  5.766962389902871E-003 -5.787221694833146E-003
  2.517498719438816E-007  5.824921325489504E-003 -5.845384239819337E-003
  2.542800002203354E-007  5.883462758062803E-003 -5.904131328100675E-003
  2.568355567087120E-007  5.942592541814808E-003 -5.963468834434953E-003
  2.594167969667899E-007  6.002316589773174E-003 -6.023402692622250E-003
  2.620239791207458E-007  6.062640874392461E-003 -6.083938896098326E-003
  2.646573638909678E-007  6.123571428151411E-003 -6.145083498533981E-003
  2.673172146181275E-007  6.185114344156167E-003 -6.206842614440405E-003
  2.700037972895140E-007  6.247275776749609E-003 -6.269222419780656E-003
  2.727173805656335E-007  6.310061942126820E-003 -6.332229152587264E-003
  2.754582358070747E-007  6.373479118956641E-003 -6.395869113586004E-003
  2.782266371016460E-007  6.437533649009609E-003 -6.460148666826013E-003
  2.810228612917836E-007  6.502231937792105E-003 -6.525074240316172E-003
  2.838471880022370E-007  6.567580455186916E-003 -6.590652326667942E-003
  2.866998996680307E-007  6.633585736100265E-003 -6.656889483744616E-003
  2.895812815627086E-007  6.700254381115222E-003 -6.723792335317086E-003
  2.924916218268613E-007  6.767593057151852E-003 -6.791367571726267E-003
  2.954312114969406E-007  6.835608498133878E-003 -6.859621950552112E-003
  2.984003445343630E-007  6.904307505662077E-003 -6.928562297289376E-003
  3.013993178549066E-007  6.973696949694446E-003 -6.998195506030192E-003
  3.044284313584026E-007  7.043783769233220E-003 -7.068528540153468E-003
  3.074879879587257E-007  7.114574973018765E-003 -7.139568433021215E-003
  3.105782936140856E-007  7.186077640230441E-003 -7.211322288681925E-003
  3.136996573576229E-007  7.258298921194551E-003 -7.283797282580957E-003
  3.168523913283132E-007  7.331246038099381E-003 -7.357000662278089E-003
  3.200368108021809E-007  7.404926285717425E-003 -7.430939748172320E-003
  3.232532342238271E-007  7.479347032134830E-003 -7.505621934233837E-003
  3.265019832382742E-007  7.554515719488248E-003 -7.581054688743465E-003
  3.297833827231311E-007  7.630439864709071E-003 -7.657245555039549E-003
  3.330977608210807E-007  7.707127060275085E-003 -7.734202152272190E-003
  3.364454489726948E-007  7.784584974969755E-003 -7.811932176165250E-003
  3.398267819495783E-007  7.862821354649090E-003 -7.890443399785885E-003
  3.432420978878466E-007  7.941844023016280E-003 -7.969743674321905E-003
  3.466917383219398E-007  8.021660882403983E-003 -8.049840929866818E-003
  3.501760482187759E-007  8.102279914564667E-003 -8.130743176212946E-003
  3.536953760122483E-007  8.183709181468737E-003 -8.212458503652341E-003
  3.572500736380690E-007  8.265956826110733E-003 -8.294995083785835E-003
  3.608404965689629E-007  8.349031073323659E-003 -8.378361170340232E-003
  3.644670038502152E-007  8.432940230601458E-003 -8.462565099993644E-003
  3.681299581355759E-007  8.517692688929799E-003 -8.547615293209222E-003
  3.718297257235262E-007  8.603296923625131E-003 -8.633520255077159E-003
  3.755666765939080E-007  8.689761495182260E-003 -8.720288576165219E-003
  3.793411844449224E-007  8.777095050130398E-003 -8.807928933377826E-003
  3.831536267305001E-007  8.865306321897824E-003 -8.896450090823745E-003
  3.870043846980465E-007  8.954404131685221E-003 -8.985860900692470E-003
  3.908938434265675E-007  9.044397389347796E-003 -9.076170304139503E-003
  3.948223918651771E-007  9.135295094286337E-003 -9.167387332180456E-003
  3.987904228719929E-007  9.227106336347091E-003 -9.259521106594150E-003
  4.027983332534224E-007  9.319840296730750E-003 -9.352580840834780E-003
  4.068465238038437E-007  9.413506248910651E-003 -9.446575840953358E-003
  4.109353993456852E-007  9.508113559560053E-003 -9.541515506528191E-003
  4.150653687699086E-007  9.603671689488853E-003 -9.637409331604958E-003
  4.192368450768980E-007  9.700190194589692E-003 -9.734266905646091E-003
  4.234502454177603E-007  9.797678726793515E-003 -9.832097914489704E-003
  4.277059911360407E-007  9.896147035034778E-003 -9.930912141318218E-003
  4.320045078098576E-007  9.995604966226354E-003 -1.003071946763664E-002
  4.363462252944604E-007  1.009606246624425E-002 -1.013152987426080E-002
  4.407315777652157E-007  1.019752958092219E-002 -1.023335344231534E-002
  4.451610037610251E-007  1.030001645705618E-002 -1.033620035424193E-002
  4.496349462281793E-007  1.040353334341926E-002 -1.044008089481748E-002
  4.541538525646534E-007  1.050809059178633E-002 -1.054500545218261E-002
