  2.061153622439000E-007  4.081824578201512E-021  4.081824580286431E-021
  2.081868560730650E-007  4.188711022899964E-021  4.188711025041795E-021
  2.102791687613270E-007  4.298390565922778E-021  4.298390568123056E-021
  2.123925095416982E-007  4.410936343839759E-021  4.410936346100059E-021
  2.145270897500181E-007  4.526423404504502E-021  4.526423406826442E-021
  2.166831228460860E-007  4.644928757105136E-021  4.644928759490382E-021
  2.188608244350085E-007  4.766531423498208E-021  4.766531425948470E-021
  2.210604122887591E-007  4.891312490922513E-021  4.891312493439550E-021
  2.232821063679562E-007  5.019355166064263E-021  5.019355168649883E-021
  2.255261288438591E-007  5.150744830542866E-021  5.150744833198927E-021
  2.277927041205855E-007  5.285569097846591E-021  5.285569100575003E-021
  2.300820588575518E-007  5.423917871756642E-021  5.423917874559369E-021
  2.323944219921395E-007  5.565883406298524E-021  5.565883409177582E-021
  2.347300247625892E-007  5.711560367260659E-021  5.711560370218125E-021
  2.370891007311241E-007  5.861045895321321E-021  5.861045898359325E-021
  2.394718858073070E-007  6.014439670825933E-021  6.014439673946667E-021
  2.418786182716312E-007  6.171843980257981E-021  6.171843983463700E-021
  2.443095387993488E-007  6.333363784447817E-021  6.333363787740836E-021
  2.467648904845383E-007  6.499106788564898E-021  6.499106791947597E-021
  2.492449188644143E-007  6.669183513940066E-021  6.669183517414894E-021
  2.517498719438816E-007  6.843707371765845E-021  6.843707375335315E-021
  2.542800002203354E-007  7.022794738723833E-021  7.022794742390531E-021
  2.568355567087120E-007  7.206565034589664E-021  7.206565038356249E-021
  2.594167969667899E-007  7.395140801867295E-021  7.395140805736499E-021
  2.620239791207458E-007  7.588647787505691E-021  7.588647791480325E-021
  2.646573638909678E-007  7.787215026752443E-021  7.787215030835392E-021
  2.673172146181275E-007  7.990974929200209E-021  7.990974933394442E-021
  2.700037972895140E-007  8.200063367083375E-021  8.200063371391946E-021
  2.727173805656335E-007  8.414619765883838E-021  8.414619770309884E-021
  2.754582358070747E-007  8.634787197306280E-021  8.634787201853025E-021
  2.782266371016460E-007  8.860712474684993E-021  8.860712479355754E-021
  2.810228612917836E-007  9.092546250885858E-021  9.092546255684045E-021
  2.838471880022370E-007  9.330443118768764E-021  9.330443123697879E-021
  2.866998996680307E-007  9.574561714277463E-021  9.574561719341110E-021
  2.895812815627086E-007  9.825064822225629E-021  9.825064827427513E-021
  2.924916218268613E-007  1.008211948484964E-020  1.008211949019357E-020
  2.954312114969406E-007  1.034589711320051E-020  1.034589711869040E-020
  2.984003445343630E-007  1.061657360144921E-020  1.061657360708908E-020
  3.013993178549066E-007  1.089432944418166E-020  1.089432944997566E-020
  3.044284313584026E-007  1.117934985676159E-020  1.117934986271397E-020
  3.074879879587257E-007  1.147182489884152E-020  1.147182490495666E-020
  3.105782936140856E-007  1.177194960110428E-020  1.177194960738667E-020
  3.136996573576229E-007  1.207992409531951E-020  1.207992410177377E-020
  3.168523913283132E-007  1.239595374780198E-020  1.239595375443288E-020
  3.200368108021809E-007  1.272024929636066E-020  1.272024930317309E-020
  3.232532342238271E-007  1.305302699082986E-020  1.305302699782884E-020
  3.265019832382742E-007  1.339450873727623E-020  1.339450874446694E-020
  3.297833827231311E-007  1.374492224597773E-020  1.374492225336548E-020
  3.330977608210807E-007  1.410450118327328E-020  1.410450119086354E-020
  3.364454489726948E-007  1.447348532738437E-020  1.447348533518275E-020
  3.398267819495783E-007  1.485212072831250E-020  1.485212073632480E-020
  3.432420978878466E-007  1.524065987191919E-020  1.524065988015133E-020
  3.466917383219398E-007  1.563936184829780E-020  1.563936185675591E-020
  3.501760482187759E-007  1.604849252454971E-020  1.604849253324009E-020
  3.536953760122483E-007  1.646832472207985E-020  1.646832473100895E-020
  3.572500736380690E-007  1.689913839852989E-020  1.689913840770436E-020
  3.608404965689629E-007  1.734122083447054E-020  1.734122084389721E-020
  3.644670038502152E-007  1.779486682497727E-020  1.779486683466317E-020
  3.681299581355759E-007  1.826037887621735E-020  1.826037888616973E-020
  3.718297257235262E-007  1.873806740717935E-020  1.873806741740565E-020
  3.755666765939080E-007  1.922825095667946E-020  1.922825096718732E-020
  3.793411844449224E-007  1.973125639578283E-020  1.973125640658011E-020
  3.831536267305001E-007  2.024741914578156E-020  2.024741915687637E-020
  3.870043846980465E-007  2.077708340187480E-020  2.077708341327545E-020
  3.908938434265675E-007  2.132060236269985E-020  2.132060237441491E-020
  3.948223918651771E-007  2.187833846586776E-020  2.187833847790603E-020
  3.987904228719929E-007  2.245066362966012E-020  2.245066364203066E-020
  4.027983332534224E-007  2.303795950104851E-020  2.303795951376064E-020
  4.068465238038437E-007  2.364061771020185E-020  2.364061772326515E-020
  4.109353993456852E-007  2.425904013165150E-020  2.425904014507583E-020
  4.150653687699086E-007  2.489363915228818E-020  2.489363916608369E-020
  4.192368450768980E-007  2.554483794636960E-020  2.554483796054671E-020
  4.234502454177603E-007  2.621307075772196E-020  2.621307077229140E-020
  4.277059911360407E-007  2.689878318932384E-020  2.689878320429665E-020
  4.320045078098576E-007  2.760243250046536E-020  2.760243251585291E-020
  4.363462252944604E-007  2.832448791168091E-020  2.832448792749486E-020
  4.407315777652157E-007  2.906543091765878E-020  2.906543093391116E-020
  4.451610037610251E-007  2.982575560833644E-020  2.982575562503962E-020
  4.496349462281793E-007  3.060596899839555E-020  3.060596901556224E-020
  4.541538525646534E-007  3.140659136537645E-020  3.140659138301975E-020
  4.587181746648468E-007  3.222815659663774E-020  3.222815661477111E-020
  4.633283689647730E-007  3.307121254539215E-020  3.307121256402945E-020
